GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
337,118,4,4.5,4.5,96.5,1,1
324,107,4,4,4.5,88.7,1,1
316,104,3,3,3.5,80,1,1
322,110,3,3.5,2.5,86.7,1,1
314,103,2,2,3,82.1,0,0
330,115,5,4.5,3,93.4,1,1
321,109,3,3,4,82,1,1
308,101,2,3,4,79,0,0
302,102,1,2,1.5,80,0,0
323,108,3,3.5,3,86,0,0
325,106,3,3.5,4,84,1,0
327,111,4,4,4.5,90,1,1
328,112,4,4,4.5,91,1,1
307,109,3,4,3,80,1,0
311,104,3,3.5,2,82,1,0
314,105,3,3.5,2.5,83,0,0
317,107,3,4,3,87,0,0
319,106,3,4,3,80,1,0
318,110,3,4,3,88,0,0
303,102,3,3.5,3,85,0,0
312,107,3,3,2,79,1,0
325,114,4,3,2,84,0,0
328,116,5,5,5,95,1,1
334,119,5,5,4.5,97,1,1
336,119,5,4,3.5,98,1,1
340,120,5,4.5,4.5,96,1,1
322,109,5,4.5,3.5,88,0,1
298,98,2,1.5,2.5,75,1,0
295,93,1,2,2,72,0,0
310,99,2,1.5,2,73,0,0
300,97,2,3,3,81,1,0
327,103,3,4,4,83,1,1
338,118,4,3,4.5,94,1,1
340,114,5,4,4,96,1,1
331,112,5,4,5,98,1,1
320,110,5,5,5,92,1,1
299,106,2,4,4,84,0,0
300,105,1,1,2,78,0,0
304,105,1,3,1.5,75,0,0
307,108,2,4,3.5,77,0,0
308,110,3,3.5,3,80,1,0
316,105,2,2.5,2.5,82,1,0
313,107,2,2.5,2,85,1,0
332,117,4,4.5,4,91,0,1
326,113,5,4.5,4,94,1,1
322,110,5,5,4,91,1,1
329,114,5,4,5,93,1,1
339,119,5,4.5,4,97,0,1
321,110,3,3.5,5,88.5,1,1
327,111,4,3,4,84,1,1
313,98,3,2.5,4.5,83,1,1
312,100,2,1.5,3.5,79,1,0
334,116,4,4,3,80,1,1
324,112,4,4,2.5,81,1,1
322,110,3,3,3.5,80,0,0
320,103,3,3,3,77,0,0
316,102,3,2,3,74,0,0
298,99,2,4,2,76,0,0
300,99,1,3,2,68,1,0
311,104,2,2,2,83,0,0
309,100,2,3,3,81,0,0
307,101,3,4,3,82,0,0
304,105,2,3,3,82,1,0
315,107,2,4,3,85,1,0
325,111,3,3,3.5,87,0,0
