interest_rate,unpaid_principal_bal,loan_term,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,insurance_percent,co-borrower_credit_score,insurance_type,m13
4.25,214000,360,95,1,22,694,30,0,0,1
4.875,144000,360,72,1,44,697,0,0,0,1
3.25,366000,180,49,1,33,780,0,0,0,1
4.75,135000,360,46,2,44,633,0,638,0,1
4.75,124000,360,80,1,43,681,0,0,0,1
4.375,150000,360,80,1,46,675,0,0,0,1
4,59000,360,95,1,44,723,30,0,0,1
4.5,319000,300,62,1,45,652,0,0,0,1
4,520000,360,76,1,35,808,0,0,0,1
4,214000,360,95,2,41,702,30,700,0,1
4.125,74000,360,90,1,42,738,25,0,0,1
3.75,192000,121,80,1,39,742,0,0,0,1
4.625,46000,360,80,1,33,739,0,0,0,1
4.375,256000,360,80,1,37,723,0,0,0,1
5.125,84000,360,80,1,46,757,0,0,0,1
4.125,48000,240,55,1,32,687,0,0,0,1
4.25,68000,360,80,1,41,731,0,0,0,1
4,142000,360,70,1,42,699,0,0,0,1
4.625,89000,240,65,1,29,669,0,0,0,1
4.375,417000,360,56,1,45,711,0,0,0,1
4.625,55000,360,50,1,45,640,0,0,0,1
4.5,60000,360,55,1,41,621,0,0,0,1
3.25,127000,120,62,2,29,746,0,770,0,1
3.375,215000,180,44,1,32,667,0,0,0,1
4.5,150000,360,75,1,39,779,0,0,0,1
4.5,246000,360,90,2,10,807,25,813,0,1
3.75,77000,180,85,2,43,683,6,658,0,1
3.75,203000,360,73,2,19,776,0,742,0,1
3.75,162000,360,58,2,43,757,0,736,0,1
4.125,264000,360,77,2,41,747,0,729,0,1
4.5,207000,360,70,2,42,669,0,625,0,1
3.99,200000,360,80,1,43,630,0,0,0,1
4,82000,240,65,1,43,661,0,0,0,1
4.375,71000,360,32,1,43,687,0,0,0,1
4.312,588000,360,80,1,31,759,0,0,0,1
4.375,107000,360,74,1,42,650,0,0,0,1
4,60000,360,47,1,31,667,0,0,0,1
3.875,172000,360,95,2,34,742,30,753,0,1
4.125,76000,360,80,1,41,702,0,0,0,1
5.5,42000,360,79,1,33,686,0,0,0,1
4.375,376000,360,80,1,45,681,0,0,0,1
4.875,412000,360,80,1,36,741,0,0,0,1
3.75,235000,360,80,2,39,802,0,759,0,1
4.25,198000,360,80,1,45,726,0,0,0,1
4.375,67000,360,80,1,16,802,0,0,0,1
3.25,82000,180,20,1,16,801,0,0,0,1
4.25,120000,360,33,1,45,627,0,0,0,1
3.5,453000,180,76,2,21,742,0,722,0,1
3.375,80000,180,67,1,40,648,0,0,0,1
3.33,107000,120,30,1,32,641,0,0,0,1
5,61000,360,38,1,44,692,0,0,0,1
4.875,133000,360,74,1,45,678,0,0,0,1
4.375,267000,360,75,1,34,789,0,0,0,1
4,239000,360,50,1,31,758,0,0,0,1
4.5,404000,360,80,1,29,650,0,0,0,1
4.5,70000,240,40,2,33,711,0,680,0,1
4.5,125000,360,75,1,45,697,0,0,0,1
3.75,74000,180,43,1,38,679,0,0,0,1
4,175000,360,70,1,45,740,0,0,0,1
3.625,115000,360,74,1,28,729,0,0,0,1
4.25,180000,360,77,2,41,733,0,732,0,1
5.125,98000,360,35,1,45,626,0,0,0,1
4.125,188000,240,80,2,23,790,0,780,0,1
3.99,415000,360,68,2,48,778,0,787,0,1
3.875,70000,360,52,2,28,787,0,766,0,1
4.125,57000,360,75,1,41,714,0,0,0,1
4,249000,360,60,1,36,783,0,0,0,1
4.125,153000,360,77,1,35,795,0,0,0,1
4.375,177000,360,79,2,24,675,0,702,0,1
5,315000,360,75,1,38,672,0,0,0,1
3.625,172000,240,80,2,25,771,0,785,0,1
3.625,220000,240,54,1,31,764,0,0,0,1
3.875,288000,360,60,2,15,784,0,788,0,1
5.25,64000,360,73,1,49,685,0,0,0,1
4.125,224000,360,76,1,44,733,0,0,0,1
3.75,417000,360,68,1,36,807,0,0,0,1
4.5,154000,360,75,1,42,684,0,0,0,1
4.75,345000,360,85,2,38,654,12,697,0,1
2.875,118000,120,53,2,37,731,0,731,0,1
3.625,224000,360,80,1,48,775,0,0,0,1
4.25,256000,360,80,1,33,731,0,0,0,1
4.5,199000,240,80,2,25,681,0,702,0,1
4.5,304000,360,80,1,29,727,0,0,0,1
4,114000,360,95,1,17,712,30,0,0,1
4.375,148000,360,95,1,30,761,30,0,0,1
4.5,105000,360,75,1,38,691,0,0,0,1
4.375,65000,180,69,2,36,640,0,658,0,1
4,190000,360,95,2,24,669,30,685,0,1
5.125,207000,360,75,1,18,701,0,0,0,1
3.46,185000,180,40,2,15,773,0,732,0,1
4.25,169000,360,68,2,21,716,0,738,0,1
3.75,417000,360,57,2,27,777,0,788,0,1
4.375,131000,360,75,1,34,753,0,0,0,1
4.875,116000,300,80,2,44,702,0,699,0,1
4.125,171000,360,80,1,45,686,0,0,0,1
4.25,54000,360,60,1,40,669,0,0,0,1
5,344000,360,78,2,32,641,0,760,0,1
3.98,395000,360,80,1,32,807,0,0,0,1
4.125,95000,360,74,2,39,689,0,668,0,1
3.875,70000,180,80,1,28,711,0,0,0,1
3.375,110000,120,54,2,37,696,0,656,0,1
4.375,221000,360,95,1,39,709,30,0,0,1
4.375,135000,360,60,1,33,733,0,0,0,1
4,80000,360,55,1,27,760,0,0,0,1
3.375,103000,180,80,1,44,668,0,0,0,1
4.375,160000,360,73,1,47,672,0,0,0,1
4.375,157000,360,62,2,42,691,0,671,0,1
