ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
84,379,2,59,43,0,0,100,150,7,7,72,4,22,2,2,2,8,24,3,2,0,26,0
56,139,21,98,19,1,1,81,1,6,2,12,0,43,21,0,0,60,66,4,3,1,88,0
72,140,25,52,22,0,0,100,150,7,7,22,0,27,9,0,0,90,6,7,2,5,82,0
58,157,10,50,5,0,0,80,5,6,6,5,3,60,0,1,0,54,83,0,3,0,75,0
63,203,41,111,11,1,1,69,13,1,3,13,0,38,0,0,0,93,37,8,2,3,100,0
70,165,15,90,26,1,1,87,15,1,6,31,0,81,150,0,0,19,51,1,4,0,100,0
70,117,3,65,29,0,0,100,150,7,7,29,4,34,6,0,0,69,94,8,3,5,71,0
61,143,4,103,2,2,2,25,35,1,2,4,1,50,150,2,2,61,77,2,1,0,100,0
66,307,6,125,38,3,1,79,24,1,2,49,2,48,4,1,1,45,75,8,3,4,65,0
79,298,8,87,30,0,0,90,18,1,6,34,2,29,7,0,0,14,18,5,2,0,64,0
60,92,16,58,19,4,3,78,5,5,2,23,0,57,150,2,2,51,57,2,1,0,60,0
51,186,13,96,22,3,1,84,2,2,2,25,0,56,0,4,3,79,50,5,3,3,100,0
70,44,3,27,22,1,1,91,6,2,2,23,4,17,0,1,1,17,89,7,3,0,61,0
67,162,34,95,16,0,0,94,3,6,6,17,0,19,15,0,0,67,44,2,1,1,60,0
75,146,14,73,8,0,0,75,5,6,6,57,0,38,22,0,0,0,49,0,1,0,50,0
66,255,13,54,11,1,1,100,150,1,7,11,0,18,0,0,0,83,64,6,1,3,78,0
58,120,8,67,22,1,0,74,6,5,5,23,1,26,0,2,2,87,79,7,3,4,92,0
