type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
1,290448.64,49671.0,340119.64,34047.63,0.0,0,0
3,7521.26,0.0,0.0,0.0,0.0,0,0
3,12043.69,0.0,0.0,0.0,0.0,0,0
1,120116.21,97688.68,217804.9,849069.38,728953.17,0,0
2,115161.12,0.0,0.0,576802.51,691963.63,0,0
1,50586.16,69410.0,119996.16,2240366.18,2189780.02,0,0
2,38595.77,71944.16,33348.39,364921.41,403517.18,0,0
3,15148.76,6095.0,0.0,0.0,0.0,0,0
3,20510.11,0.0,0.0,0.0,0.0,0,0
1,159297.24,14640943.13,14800240.36,357719.84,198422.6,0,0
1,188722.14,1019.0,189741.14,0.0,0.0,0,0
1,214851.41,8097880.27,8312731.68,939718.63,1517262.16,0,0
2,335412.66,0.0,0.0,914364.41,1249777.07,0,0
1,90102.19,1041566.45,1131668.64,5136473.28,5046371.1,0,0
3,36802.04,295804.0,259001.96,0.0,0.0,0,0
4,410814.41,300165.53,0.0,2605572.88,3016387.29,0,0
2,195070.78,0.0,0.0,1418260.97,1613331.75,0,0
3,4408.7,661355.56,656946.86,0.0,0.0,0,0
4,625915.68,29769.0,0.0,1629188.32,2255104.0,0,0
2,48207.91,51437.0,3229.09,482933.28,531141.19,0,0
2,337911.97,700255.0,362343.03,101831.62,386255.96,0,0
2,32688.51,0.0,0.0,116071.81,148760.31,0,0
3,7490.75,11659.0,4168.25,0.0,0.0,0,0
3,8951.95,320453.67,311501.73,0.0,0.0,0,0
2,35176.87,0.0,0.0,337014.27,372191.13,0,0
1,386991.19,4271437.85,4658429.03,731558.53,344567.34,0,0
2,96924.76,0.0,0.0,3515746.04,3612670.79,0,0
1,77917.18,39854.0,117771.18,929352.85,851435.66,0,0
3,12688.21,0.0,0.0,0.0,0.0,0,0
3,7789.86,1160525.6,1152735.74,0.0,0.0,0,0
3,28219.68,947664.18,919444.5,0.0,0.0,0,0
2,312511.2,0.0,0.0,1289940.16,1602451.36,0,0
3,5935.6,0.0,0.0,0.0,0.0,0,0
2,64536.26,166869.49,102333.23,259223.89,323760.15,0,0
3,2728.37,0.0,0.0,0.0,0.0,0,0
1,233103.5,3382.0,236485.5,60691.66,0.0,0,0
2,84529.47,0.0,0.0,250687.56,335217.03,0,0
2,123701.82,0.0,0.0,645905.52,769607.34,0,0
2,143505.34,244244.0,100738.66,21984.6,165489.93,0,0
1,387145.08,7182128.04,7569273.12,463997.76,76852.68,0,0
3,5541.2,51085.0,45543.8,0.0,0.0,0,0
3,2193.16,196121.97,193928.81,0.0,0.0,0,0
2,68271.13,1069.0,0.0,209371.82,277642.95,0,0
2,162567.47,12428.0,0.0,1988264.18,2150831.65,0,0
1,703990.81,8435777.28,9139768.09,1811445.52,1107454.72,0,0
2,273556.8,0.0,0.0,1102675.75,1376232.56,0,0
3,1413.76,0.0,0.0,0.0,0.0,0,0
2,3385.26,10771.0,7385.74,865318.15,868703.41,0,0
